"filename", "language", "JSON", "YAML", "JSON with Comments", "Markdown", "TypeScript", "CSS", "vue", "JavaScript", "TypeScript JSX", "XML", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\.idea\canvas.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -12
"f:\study\design\canvas\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -8
"f:\study\design\canvas\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, -6
"f:\study\design\canvas\README.md", "Markdown", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"f:\study\design\canvas\apps\api\README.md", "Markdown", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"f:\study\design\canvas\apps\api\api\index.ts", "TypeScript", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -2, -8
"f:\study\design\canvas\apps\api\package.json", "JSON", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -49
"f:\study\design\canvas\apps\api\src\hono\board\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -2, -6
"f:\study\design\canvas\apps\api\src\hono\design\index.ts", "TypeScript", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -2, -10
"f:\study\design\canvas\apps\api\src\hono\design\route\board.ts", "TypeScript", 0, 0, 0, 0, -185, 0, 0, 0, 0, 0, 0, 0, -2, -187
"f:\study\design\canvas\apps\api\src\hono\design\route\image.ts", "TypeScript", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, -1, -3, -40
"f:\study\design\canvas\apps\api\src\hono\design\route\user.ts", "TypeScript", 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, -3, -2, -91
"f:\study\design\canvas\apps\api\src\hono\form\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -1, -5
"f:\study\design\canvas\apps\api\src\hono\index.ts", "TypeScript", 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, -1, -3, -24
"f:\study\design\canvas\apps\api\src\hono\jebt\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -1, -5
"f:\study\design\canvas\apps\api\src\hono\vue\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -1, -5
"f:\study\design\canvas\apps\api\src\libs\error\index.ts", "TypeScript", 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -6, -5, -27
"f:\study\design\canvas\apps\api\src\libs\index.ts", "TypeScript", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"f:\study\design\canvas\apps\api\src\libs\sign-in\index.ts", "TypeScript", 0, 0, 0, 0, -46, 0, 0, 0, 0, 0, 0, 0, -5, -51
"f:\study\design\canvas\apps\api\src\libs\unsplash\index.ts", "TypeScript", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -1, -2, -9
"f:\study\design\canvas\apps\api\src\server\design\board\index.ts", "TypeScript", 0, 0, 0, 0, -127, 0, 0, 0, 0, 0, 0, -33, -6, -166
"f:\study\design\canvas\apps\api\src\server\design\index.ts", "TypeScript", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"f:\study\design\canvas\apps\api\src\server\design\sign\index.ts", "TypeScript", 0, 0, 0, 0, -74, 0, 0, 0, 0, 0, 0, -2, -3, -79
"f:\study\design\canvas\apps\api\src\server\index.ts", "TypeScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, -4
"f:\study\design\canvas\apps\api\src\server\jebt\auth\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -2, -6
"f:\study\design\canvas\apps\api\src\server\jebt\index.ts", "TypeScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"f:\study\design\canvas\apps\api\src\server\supabase\design\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -1, -5
"f:\study\design\canvas\apps\api\src\server\supabase\index.ts", "TypeScript", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"f:\study\design\canvas\apps\api\src\server\supabase\jebt\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -1, -5
"f:\study\design\canvas\apps\api\src\types\design\board.ts", "TypeScript", 0, 0, 0, 0, -14, 0, 0, 0, 0, 0, 0, 0, -2, -16
"f:\study\design\canvas\apps\api\src\types\design\user.ts", "TypeScript", 0, 0, 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, -3, -20
"f:\study\design\canvas\apps\api\tsconfig.json", "JSON with Comments", 0, 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -25
"f:\study\design\canvas\apps\api\vercel.json", "JSON", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"f:\study\design\canvas\apps\api\vite.config.ts", "TypeScript", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -1, -12
"f:\study\design\canvas\apps\form\README.md", "Markdown", 0, 0, 0, -50, 0, 0, 0, 0, 0, 0, 0, 0, -26, -76
"f:\study\design\canvas\apps\form\components\hellow.vue", "vue", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -2, -10
"f:\study\design\canvas\apps\form\database\index.ts", "TypeScript", 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"f:\study\design\canvas\apps\form\nuxt.config.ts", "TypeScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -1, -1, -7
"f:\study\design\canvas\apps\form\package.json", "JSON", -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -24
"f:\study\design\canvas\apps\form\pages\about.vue", "vue", 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, 0, -4, -26
"f:\study\design\canvas\apps\form\pages\index.vue", "vue", 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, 0, 0, -2, -4
"f:\study\design\canvas\apps\form\plugins\vue-query.ts", "TypeScript", 0, 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, -2, -6, -37
"f:\study\design\canvas\apps\form\server\tsconfig.json", "JSON with Comments", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"f:\study\design\canvas\apps\form\tsconfig.json", "JSON with Comments", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -5
"f:\study\design\canvas\apps\jebet\README.md", "Markdown", 0, 0, 0, -40, 0, 0, 0, 0, 0, 0, 0, 0, -11, -51
"f:\study\design\canvas\apps\jebet\components.json", "JSON", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20
"f:\study\design\canvas\apps\jebet\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, 0, -2, -30
"f:\study\design\canvas\apps\jebet\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, -1, -21
"f:\study\design\canvas\apps\jebet\package.json", "JSON", -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -69
"f:\study\design\canvas\apps\jebet\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"f:\study\design\canvas\apps\jebet\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\study\design\canvas\apps\jebet\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\study\design\canvas\apps\jebet\src\components\auth\SignInContain.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, 0, -3, -47
"f:\study\design\canvas\apps\jebet\src\components\command\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, -3, -24
"f:\study\design\canvas\apps\jebet\src\components\shadui\DottedSeparator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -44, 0, 0, 0, -2, -46
"f:\study\design\canvas\apps\jebet\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -49, 0, 0, 0, -7, -56
"f:\study\design\canvas\apps\jebet\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -126, 0, 0, 0, -14, -140
"f:\study\design\canvas\apps\jebet\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -3, -6
"f:\study\design\canvas\apps\jebet\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, -6, -49
"f:\study\design\canvas\apps\jebet\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -31, 0, 0, 0, -6, -37
"f:\study\design\canvas\apps\jebet\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -105, 0, 0, 0, -11, -116
"f:\study\design\canvas\apps\jebet\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -56, 0, 0, 0, -6, -62
"f:\study\design\canvas\apps\jebet\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -66, 0, 0, 0, -5, -71
"f:\study\design\canvas\apps\jebet\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -68, 0, 0, 0, -9, -77
"f:\study\design\canvas\apps\jebet\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -326, 0, 0, -2, -36, -364
"f:\study\design\canvas\apps\jebet\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, -4, -29
"f:\study\design\canvas\apps\jebet\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -108, 0, 0, 0, -13, -121
"f:\study\design\canvas\apps\jebet\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -62, 0, 0, 0, -8, -70
"f:\study\design\canvas\apps\jebet\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -4, -24
"f:\study\design\canvas\apps\jebet\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, -4, -30
"f:\study\design\canvas\apps\jebet\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -125, 0, 0, 0, -16, -141
"f:\study\design\canvas\apps\jebet\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -696, 0, 0, -12, -54, -762
"f:\study\design\canvas\apps\jebet\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -3, -16
"f:\study\design\canvas\apps\jebet\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -47, 0, 0, 0, -7, -54
"f:\study\design\canvas\apps\jebet\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -20, 0, 0, 0, -5, -25
"f:\study\design\canvas\apps\jebet\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, -7, -31
"f:\study\design\canvas\apps\jebet\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, 0, -5, -20
"f:\study\design\canvas\apps\jebet\src\hooks\useUser.ts", "TypeScript", 0, 0, 0, 0, -20, 0, 0, 0, 0, 0, 0, -4, -3, -27
"f:\study\design\canvas\apps\jebet\src\index.css", "CSS", 0, 0, 0, 0, 0, -85, 0, 0, 0, 0, 0, 0, -1, -86
"f:\study\design\canvas\apps\jebet\src\lib\sign\index.ts", "TypeScript", 0, 0, 0, 0, -39, 0, 0, 0, 0, 0, 0, 0, -3, -42
"f:\study\design\canvas\apps\jebet\src\lib\utils.ts", "TypeScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -2, -7
"f:\study\design\canvas\apps\jebet\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -58, 0, 0, -1, -3, -62
"f:\study\design\canvas\apps\jebet\src\page\auth\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -48, 0, 0, -2, -3, -53
"f:\study\design\canvas\apps\jebet\src\page\error\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -2, -6
"f:\study\design\canvas\apps\jebet\src\server\index.ts", "TypeScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -2, -5
"f:\study\design\canvas\apps\jebet\src\store\auth.ts", "TypeScript", 0, 0, 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, -2, -17
"f:\study\design\canvas\apps\jebet\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"f:\study\design\canvas\apps\jebet\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -89, 0, 0, 0, -1, -1, -91
"f:\study\design\canvas\apps\jebet\tsconfig.app.json", "JSON", -25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -2, -29
"f:\study\design\canvas\apps\jebet\tsconfig.app.tsbuildinfo", "JSON", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"f:\study\design\canvas\apps\jebet\tsconfig.json", "JSON with Comments", 0, 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"f:\study\design\canvas\apps\jebet\tsconfig.node.json", "JSON", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -24
"f:\study\design\canvas\apps\jebet\tsconfig.node.tsbuildinfo", "JSON", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"f:\study\design\canvas\apps\jebet\vite.config.ts", "TypeScript", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -2, -13
"f:\study\design\canvas\apps\vue\README.md", "Markdown", 0, 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -11, -30
"f:\study\design\canvas\apps\vue\biome.json", "JSON", -33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -34
"f:\study\design\canvas\apps\vue\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, -2, -12
"f:\study\design\canvas\apps\vue\package.json", "JSON", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -29
"f:\study\design\canvas\apps\vue\rsbuild.config.ts", "TypeScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -2, -7
"f:\study\design\canvas\apps\vue\server\index.ts", "TypeScript", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -2, -5
"f:\study\design\canvas\apps\vue\src\App.vue", "vue", 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, -6, -42
"f:\study\design\canvas\apps\vue\src\env.d.ts", "TypeScript", 0, 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -1, -3, -9
"f:\study\design\canvas\apps\vue\src\index.css", "CSS", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -1, -7
"f:\study\design\canvas\apps\vue\src\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -2, -6
"f:\study\design\canvas\apps\vue\tsconfig.json", "JSON with Comments", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -25
"f:\study\design\canvas\package.json", "JSON", -32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -33
"f:\study\design\canvas\package\ui\index.d.ts", "TypeScript", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"f:\study\design\canvas\package\ui\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -1, -14
"f:\study\design\canvas\package\ui\lib\InitScroll\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -24, 0, 0, 0, -3, -27
"f:\study\design\canvas\package\ui\lib\main.ts", "TypeScript", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -1, -10
"f:\study\design\canvas\package\ui\package.json", "JSON", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -28
"f:\study\design\canvas\package\ui\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\study\design\canvas\package\ui\src\main.ts", "TypeScript", 0, 0, 0, 0, -21, 0, 0, 0, 0, 0, 0, 0, -3, -24
"f:\study\design\canvas\package\ui\src\style.css", "CSS", 0, 0, 0, 0, 0, -84, 0, 0, 0, 0, 0, 0, -12, -96
"f:\study\design\canvas\package\ui\src\typescript.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\study\design\canvas\package\ui\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"f:\study\design\canvas\package\ui\tsconfig.json", "JSON with Comments", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -2, -3, -25
"f:\study\design\canvas\package\ui\vite.config.ts", "TypeScript", 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, 0, -2, -12
"f:\study\design\canvas\pnpm-lock.yaml", "YAML", 0, -13061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3268, -16329
"f:\study\design\canvas\pnpm-workspace.yaml", "YAML", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"f:\study\design\canvas\turbo.json", "JSON", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -19
"Total", "-", -352, -13065, -87, -117, -877, -175, -68, -133, -2297, -30, -33, -84, -3726, -21044